epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1375.17,0.74979,0.55149,1.91028,0.98768,0.99343,0.995,0.99099,0.35485,0.22823,1.66705,0.000622615,0.000622615,0.000622615
59,1399.55,0.76861,0.53808,1.92943,0.99042,0.99858,0.995,0.99248,0.31337,0.1906,1.65574,0.000608468,0.000608468,0.000608468
60,1425.36,0.78603,0.53879,1.95942,0.99767,0.98851,0.99467,0.99119,0.29618,0.21313,1.65064,0.000594321,0.000594321,0.000594321
61,1450,0.75797,0.5683,1.92015,0.9959,0.99011,0.995,0.99069,0.30768,0.21709,1.66486,0.000580174,0.000580174,0.000580174
62,1475.58,0.77624,0.55929,1.93442,0.99675,1,0.995,0.98938,0.34452,0.21656,1.65886,0.000566027,0.000566027,0.000566027
63,1500.01,0.77586,0.58995,1.93378,0.99324,0.98456,0.99467,0.99002,0.30558,0.21391,1.64785,0.00055188,0.00055188,0.00055188
64,1525.55,0.73512,0.52305,1.90357,0.98334,0.99155,0.99433,0.99229,0.30898,0.2198,1.65622,0.000537733,0.000537733,0.000537733
65,1549.82,0.7558,0.54754,1.9144,0.98572,1,0.995,0.99089,0.31109,0.22048,1.66107,0.000523586,0.000523586,0.000523586
66,1575.41,0.78076,0.53391,1.94065,0.9765,0.99855,0.99467,0.99231,0.2869,0.19921,1.65219,0.000509438,0.000509438,0.000509438
67,1598.66,0.71329,0.52595,1.91019,0.98367,0.98851,0.99275,0.98891,0.327,0.22622,1.68096,0.000495291,0.000495291,0.000495291
68,1623.45,0.75359,0.53807,1.92243,0.99739,1,0.995,0.98986,0.33786,0.21667,1.68966,0.000481144,0.000481144,0.000481144
69,1646.52,0.73289,0.50673,1.92702,0.98683,0.9955,0.995,0.99184,0.30264,0.20493,1.66083,0.000466997,0.000466997,0.000466997
70,1671.2,0.73348,0.55238,1.89699,0.99526,0.99954,0.995,0.99003,0.33593,0.19424,1.66959,0.00045285,0.00045285,0.00045285
71,1694.63,0.72549,0.49479,1.90658,0.99622,0.99857,0.995,0.99033,0.30284,0.20029,1.65891,0.000438703,0.000438703,0.000438703
72,1719.31,0.71602,0.49019,1.8773,0.99804,0.99888,0.995,0.98888,0.30126,0.18547,1.65239,0.000424556,0.000424556,0.000424556
73,1742.85,0.71373,0.5416,1.90178,0.99752,0.99036,0.995,0.99017,0.28229,0.1995,1.65237,0.000410409,0.000410409,0.000410409
74,1767.22,0.72685,0.49141,1.92892,0.99589,0.99818,0.995,0.99052,0.2941,0.17285,1.65286,0.000396262,0.000396262,0.000396262
75,1790.48,0.69261,0.46935,1.88092,0.99513,0.99963,0.995,0.99166,0.29494,0.17621,1.66183,0.000382115,0.000382115,0.000382115
76,1815.49,0.67267,0.47628,1.86802,0.99603,0.99885,0.995,0.99056,0.29612,0.18198,1.65749,0.000367967,0.000367967,0.000367967
77,1839.62,0.70157,0.45521,1.87772,0.98248,0.99651,0.99467,0.98948,0.31114,0.202,1.6493,0.00035382,0.00035382,0.00035382
